Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
5.097360E-3,5.780381E-3,22.669804
5.113440E-3,5.367477E-3,22.626574
5.129520E-3,4.954591E-3,22.583345
5.145600E-3,7.019002E-3,22.799484
5.161680E-3,8.670544E-3,22.972397
5.177760E-3,7.431888E-3,22.842712
5.193840E-3,7.431888E-3,22.842712
5.209920E-3,8.257659E-3,22.929169
5.226000E-3,6.606134E-3,22.756258
5.242080E-3,7.019002E-3,22.799484
5.258160E-3,4.128838E-3,22.496891
5.274240E-3,9.909165E-3,23.102077
5.290320E-3,9.909165E-3,23.102077
5.306400E-3,9.496298E-3,23.058851
5.322480E-3,10.734955E-3,23.188536
5.338560E-3,7.431888E-3,22.842712
5.354641E-3,5.367477E-3,22.626574
5.370720E-3,7.431888E-3,22.842712
5.386801E-3,9.083412E-3,23.015623
5.402880E-3,7.019002E-3,22.799484
5.418960E-3,9.083412E-3,23.015623
5.435040E-3,10.322050E-3,23.145306
5.451120E-3,9.909165E-3,23.102077
5.467200E-3,4.541724E-3,22.540119
5.483280E-3,4.954591E-3,22.583345
5.499360E-3,7.431888E-3,22.842712
5.515440E-3,7.844754E-3,22.885939
5.531520E-3,8.257659E-3,22.929169
5.547600E-3,7.019002E-3,22.799484
5.563681E-3,7.844754E-3,22.885939
5.579760E-3,7.844754E-3,22.885939
5.595841E-3,8.670544E-3,22.972397
5.611920E-3,8.257659E-3,22.929169
5.628000E-3,5.780381E-3,22.669804
5.644080E-3,8.257659E-3,22.929169
5.660160E-3,9.496298E-3,23.058851
5.676240E-3,9.496298E-3,23.058851
5.692320E-3,8.257659E-3,22.929169
5.708400E-3,9.909165E-3,23.102077
5.724480E-3,7.019002E-3,22.799484
5.740560E-3,6.606134E-3,22.756258
5.756640E-3,7.019002E-3,22.799484
5.772721E-3,7.019002E-3,22.799484
5.788800E-3,8.670544E-3,22.972397
5.804881E-3,9.496298E-3,23.058851
5.820960E-3,11.147840E-3,23.231764
5.837040E-3,9.909165E-3,23.102077
5.853120E-3,8.670544E-3,22.972397
5.869200E-3,7.431888E-3,22.842712
5.885280E-3,6.193249E-3,22.713030
5.901360E-3,8.257659E-3,22.929169
5.917440E-3,10.322050E-3,23.145306
5.933520E-3,10.322050E-3,23.145306
5.949600E-3,8.670544E-3,22.972397
5.965680E-3,7.844754E-3,22.885939
5.981761E-3,8.257659E-3,22.929169
5.997840E-3,8.670544E-3,22.972397
6.013921E-3,7.431888E-3,22.842712
6.030000E-3,7.844754E-3,22.885939
6.046080E-3,7.844754E-3,22.885939
6.062160E-3,10.322050E-3,23.145306
6.078240E-3,9.496298E-3,23.058851
6.094320E-3,7.844754E-3,22.885939
6.110400E-3,9.083412E-3,23.015623
6.126480E-3,8.670544E-3,22.972397
6.142560E-3,7.431888E-3,22.842712
6.158640E-3,11.147840E-3,23.231764
6.174720E-3,9.496298E-3,23.058851
6.190801E-3,7.844754E-3,22.885939
6.206880E-3,9.496298E-3,23.058851
6.222961E-3,6.606134E-3,22.756258
6.239040E-3,7.019002E-3,22.799484
6.255121E-3,8.257659E-3,22.929169
6.271200E-3,9.083412E-3,23.015623
6.287280E-3,9.496298E-3,23.058851
6.303360E-3,8.670544E-3,22.972397
6.319440E-3,8.257659E-3,22.929169
6.335520E-3,7.844754E-3,22.885939
6.351600E-3,7.019002E-3,22.799484
6.367680E-3,9.496298E-3,23.058851
6.383760E-3,9.083412E-3,23.015623
6.399841E-3,7.844754E-3,22.885939
6.415920E-3,7.844754E-3,22.885939
6.432001E-3,10.322050E-3,23.145306
6.448080E-3,10.322050E-3,23.145306
6.464161E-3,9.083412E-3,23.015623
6.480240E-3,4.954591E-3,22.583345
6.496320E-3,6.606134E-3,22.756258
6.512400E-3,8.670544E-3,22.972397
6.528480E-3,11.560707E-3,23.274990
6.544560E-3,9.083412E-3,23.015623
6.560640E-3,11.147840E-3,23.231764
6.576720E-3,9.909165E-3,23.102077
6.592800E-3,7.431888E-3,22.842712
6.608881E-3,7.431888E-3,22.842712
6.624960E-3,7.019002E-3,22.799484
6.641041E-3,9.909165E-3,23.102077
6.657120E-3,11.147840E-3,23.231764
6.673201E-3,8.670544E-3,22.972397
6.689280E-3,9.496298E-3,23.058851
6.705360E-3,11.147840E-3,23.231764
6.721440E-3,8.670544E-3,22.972397
6.737520E-3,8.670544E-3,22.972397
6.753600E-3,9.083412E-3,23.015623
6.769680E-3,9.496298E-3,23.058851
6.785760E-3,8.670544E-3,22.972397
6.801840E-3,9.083412E-3,23.015623
6.817921E-3,10.322050E-3,23.145306
6.834000E-3,9.909165E-3,23.102077
6.850081E-3,9.083412E-3,23.015623
6.866160E-3,9.496298E-3,23.058851
